Stations_id,von_datum,bis_datum,Stationshoehe,geoBreite,geoLaenge,Stationsname,Bundesland
2483,19900701,20260112,839,51.1803,8.4891,Kahler Asten,Nordrhein-Westfalen
2485,20110502,20251218,489,48.917,9.6871,Kaisersbach-Cronhütte,Baden-Württemberg
2494,19930302,20131020,31,51.7329,6.2688,Kalkar,Nordrhein-Westfalen
2497,20040801,20260112,505,50.5014,6.5264,Kall-Sistig,Nordrhein-Westfalen
2503,19900620,20030502,487,50.6266,10.1455,Kaltennordheim,Thüringen
2522,19900701,20081031,112,49.0382,8.3641,Karlsruhe,Baden-Württemberg
2532,19900701,20131101,231,51.2963,9.4424,Kassel,Hessen
2559,19900820,20260112,705,47.7233,10.3348,Kempten,Bayern
2564,19900701,20260112,28,54.3776,10.1424,Kiel-Holtenau,Schleswig-Holstein
2573,20071205,20260112,470,47.9588,12.7717,Waging am See-Schnöbling,Bayern
2597,19900701,20260112,282,50.224,10.0792,Kissingen,Bayern
2601,19900701,20260112,822,50.2218,8.4469,Kleiner Feldberg/Taunus,Hessen
2638,19900701,20260112,974,48.1054,8.7548,Klippeneck,Baden-Württemberg
2667,19900701,20260112,91,50.8645,7.1575,Köln/Bonn,Nordrhein-Westfalen
2703,19900701,20001011,496,51.855,9.3239,Köterberg,Nordrhein-Westfalen
2712,19900705,20260112,428,47.6952,9.1307,Konstanz,Baden-Württemberg
2773,19930302,20260103,416,49.4283,11.9016,Kümmersbruck,Bayern
2794,19900622,20260112,40,52.9362,12.4093,Kyritz,Brandenburg
2796,19911103,20260110,40,53.9156,12.279,Laage-Kronskamp,Mecklenburg-Vorpommern
2798,19900705,19990504,32,51.6,6.15,Laarbruch,Nordrhein-Westfalen
2812,19950110,20260112,156,48.3647,7.828,Lahr,Baden-Württemberg
2829,19900701,20180622,617,48.0772,10.9144,Landsberg (Flugplatz),Bayern
2856,20071002,20260112,92,51.9173,13.0878,Langenlipsdorf,Brandenburg
2878,20170801,20260112,117,51.3909,11.8786,Lauchstädt,Sachsen-Anhalt
2886,19930302,20260110,539,48.2175,9.9097,Laupheim,Baden-Württemberg
2897,20081105,20260112,522,50.5808,9.2857,Lautertal-Hörgenau,Hessen
2905,19900701,20260110,550,48.1849,10.8507,Lechfeld,Bayern
2907,19900718,20260112,7,54.7903,8.9514,Leck,Schleswig-Holstein
2925,19900604,20260112,356,51.3932,10.3123,Leinefelde,Thüringen
2928,19970411,20260112,138,51.3151,12.4462,Leipzig-Holzhausen,Sachsen
2932,19900602,20260112,131,51.4347,12.2396,Leipzig/Halle,Sachsen
2961,19900701,20260112,0,54.4996,10.2737,Leuchtturm Kiel,Schleswig-Holstein
2985,19910305,20260112,321,50.9383,14.2094,Lichtenhain-Mittelndorf,Sachsen
3015,19900115,20260112,98,52.2085,14.118,Lindenberg,Brandenburg
3023,19900701,20161231,22,52.5181,7.3081,Lingen,Niedersachsen
3028,19900701,20260112,157,51.7854,8.8388,Lippspringe,Sachsen-Anhalt
3032,19900701,20260112,25,55.011,8.4125,List auf Sylt,Schleswig-Holstein
3086,19900701,20260112,15,53.8025,10.6989,Lübeck-Blankensee,Schleswig-Holstein
3093,19900701,20260112,16,52.9724,11.1374,Lüchow,Niedersachsen
3097,19900702,19930903,421,51.2,7.6333,Lüdenscheid (Flugplatz),Nordrhein-Westfalen
3098,19940112,20260112,387,51.2452,7.6425,Lüdenscheid,Nordrhein-Westfalen
3126,19900604,20260112,79,52.1029,11.5827,Magdeburg,Sachsen-Anhalt
3158,19900621,20260112,12,52.5468,14.5453,Manschnow,Brandenburg
3166,19900622,20260112,639,50.6511,13.1469,Marienberg,Sachsen
3167,19900701,20260112,547,50.6621,7.9603,Marienberg,Rheinland-Pfalz
3170,19931008,19960219,9,54.4937,11.2411,Marienleuchte,Schleswig-Holstein
3196,19900605,20260112,81,53.3221,11.9324,Marnitz,Mecklenburg-Vorpommern
3231,19900602,20260112,450,50.5611,10.3771,Meiningen,Thüringen
3244,20110513,20260112,614,47.9821,10.1384,Memmingen,Bayern
3245,19900701,20021111,630,47.9833,10.2333,Memmingen (Flugplatz),Bayern
3246,19930302,20070511,181,50.3667,7.3167,Mendig,Rheinland-Pfalz
3254,19700402,20260110,19,52.7155,7.3176,Meppen,Niedersachsen
3268,19930301,20260112,900,48.1694,8.9433,Meßstetten-Appental,Baden-Württemberg
3287,19900701,20260112,453,49.7177,9.0997,Michelstadt-Vielbrunn,Hessen
3321,20080424,20260112,76,51.1313,6.3608,Mönchengladbach-Hilderath,Nordrhein-Westfalen
3362,19900701,20260112,243,48.9721,8.8735,Mühlacker,Baden-Württemberg
3366,19900701,20260112,406,48.279,12.5024,Mühldorf,Bayern
3376,20040601,20260112,64,52.5176,14.1232,Müncheberg,Brandenburg
3379,19900701,20260112,515,48.1632,11.5429,München-Stadt,Bayern
3390,19900701,19920511,529,48.1369,11.7094,München-Riem,Bayern
3402,20080131,20260112,755,48.3851,9.4837,Münsingen-Apfelstetten,Baden-Württemberg
3478,19900602,20050817,81,53.5468,13.1914,Neubrandenburg,Mecklenburg-Vorpommern
3484,19900805,20260109,379,48.7085,11.2147,Neuburg an der Donau,Bayern
3513,19900207,20260112,845,50.5003,11.1345,Neuhaus am Rennweg,Thüringen
3518,19930301,19940413,793,47.976,8.9101,Neuhausen ob Eck,Baden-Württemberg
3534,20090501,20260112,584,49.2713,11.4881,Neumarkt-Höhenberg,Bayern
3538,19900701,19951020,20,54.0833,9.9333,Neumünster-Wasbek,Schleswig-Holstein
3552,19900602,20190408,38,52.9037,12.8071,Neuruppin,Brandenburg
3603,19930301,20260110,459,49.3895,9.9666,Niederstetten,Baden-Württemberg
3623,19900921,20260112,108,50.8294,6.6601,Nörvenich-Niederbolheim,Nordrhein-Westfalen
3631,19900701,20260112,12,53.7123,7.1519,Norderney,Niedersachsen
3639,19900706,20260110,24,53.7647,8.6584,Nordholz-Wanhöden,Niedersachsen
3651,20080901,20260112,111,51.7521,9.945,Northeim-Stöckheim,Niedersachsen
3657,20051031,20150831,341,50.9081,7.5543,Nümbrecht auf dem Lindchen,Nordrhein-Westfalen
