Index,Feature,Factor,Weight,Is Pure
0,RET,1,1.0,Yes
3,VA,1,0.44718309859154926,No
1,AC,2,1.0,Yes
3,VA,2,0.33450704225352107,No
4,BC,2,0.5492957746478873,No
2,LZ,3,1.0,Yes
3,VA,3,0.21830985915492954,No
4,BC,3,0.45070422535211263,No
5,VK,3,1.0,Yes
